"HomeTeam","AwayTeam","Date","Contest","Type","HomeGoals","AwayGoals","HomeAdvantage"
"Syria","South Korea","09/06/16","World Cup","Qualifiers-Asia",0,0,1
"Qatar","Uzbekistan","09/06/16","World Cup","Qualifiers-Asia",0,1,1
"South Korea","Qatar","10/06/16","World Cup","Qualifiers-Asia",3,2,1
"China","Syria","10/06/16","World Cup","Qualifiers-Asia",0,1,1
"Uzbekistan","Iran","10/06/16","World Cup","Qualifiers-Asia",0,1,1
"Uzbekistan","China","10/11/16","World Cup","Qualifiers-Asia",2,0,1
"Iran","South Korea","10/11/16","World Cup","Qualifiers-Asia",1,0,1
"Qatar","Syria","10/11/16","World Cup","Qualifiers-Asia",1,0,1
"South Korea","Uzbekistan","11/15/16","World Cup","Qualifiers-Asia",2,1,1
"China","Qatar","11/15/16","World Cup","Qualifiers-Asia",0,0,1
"Syria","Iran","11/15/16","World Cup","Qualifiers-Asia",0,0,1
"China","South Korea","03/23/17","World Cup","Qualifiers-Asia",1,0,1
"Syria","Uzbekistan","03/23/17","World Cup","Qualifiers-Asia",1,0,1
"Qatar","Iran","03/23/17","World Cup","Qualifiers-Asia",0,1,1
"South Korea","Syria","03/28/17","World Cup","Qualifiers-Asia",1,0,1
"Iran","China","03/28/17","World Cup","Qualifiers-Asia",1,0,1
"Uzbekistan","Qatar","03/28/17","World Cup","Qualifiers-Asia",1,0,1
"Iran","Uzbekistan","06/12/17","World Cup","Qualifiers-Asia",2,0,1
"Syria","China","06/13/17","World Cup","Qualifiers-Asia",2,2,1
"Qatar","South Korea","06/13/17","World Cup","Qualifiers-Asia",3,2,1
"Australia","Iraq","09/01/16","World Cup","Qualifiers-Asia",2,0,1
"Japan","United Arab Emirates","09/01/16","World Cup","Qualifiers-Asia",1,2,1
"Saudi Arabia","Thailand","09/01/16","World Cup","Qualifiers-Asia",1,0,1
"Iraq","Saudi Arabia","09/06/16","World Cup","Qualifiers-Asia",1,2,1
"Thailand","Japan","09/06/16","World Cup","Qualifiers-Asia",0,2,1
"United Arab Emirates","Australia","09/06/16","World Cup","Qualifiers-Asia",0,1,1
"Japan","Iraq","10/06/16","World Cup","Qualifiers-Asia",2,1,1
"United Arab Emirates","Thailand","10/06/16","World Cup","Qualifiers-Asia",3,1,1
"Saudi Arabia","Australia","10/06/16","World Cup","Qualifiers-Asia",2,2,1
"Australia","Japan","10/11/16","World Cup","Qualifiers-Asia",1,1,1
"Iraq","Thailand","10/11/16","World Cup","Qualifiers-Asia",4,0,1
