"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeGoalsFull","AwayGoalsFull","ExtraTimePossible","HomeAdvantage"
"Uganda","Malawi","2018-03-27","Friendly",0,0,0,0,0,1
"Iraq","Syria","2018-03-27","Friendly tournament",1,1,1,1,0,1
"Luxembourg","Austria","2018-03-27","Friendly",0,4,0,4,0,1
"Germany","Brazil","2018-03-27","Friendly",0,1,0,1,0,1
"Poland","South Korea","2018-03-27","Friendly",3,2,3,2,0,1
"Ukraine","Japan","2018-03-27","Friendly",2,1,2,1,0,0
"Spain","Argentina","2018-03-27","Friendly",6,1,6,1,0,1
"Yemen","Nepal","2018-03-27","Asian Cup qualifier",2,1,2,1,0,0
"Hungary","Scotland","2018-03-27","Friendly",0,1,0,1,0,1
"Taiwan","Singapore","2018-03-27","Asian Cup qualifier",1,0,1,0,0,1
"Denmark","Chile","2018-03-27","Friendly",0,0,0,0,0,1
"Greece","Egypt","2018-03-27","Friendly",1,0,1,0,0,0
"Peru","Iceland","2018-03-27","Friendly",3,1,3,1,0,0
"Croatia","Mexico","2018-03-27","Friendly",1,0,1,0,0,0
"Bahrain","Turkmenistan","2018-03-27","Asian Cup qualifier",4,0,4,0,0,1
"Serbia","Nigeria","2018-03-27","Friendly",2,0,2,0,0,0
"Oman","Palestine","2018-03-27","Asian Cup qualifier",1,0,1,0,0,1
"Ivory Coast","Moldova","2018-03-27","Friendly",2,1,2,1,0,0
"Belgium","Saudi Arabia","2018-03-27","Friendly",4,0,4,0,0,1
"England","Italy","2018-03-27","Friendly",1,1,1,1,0,1
"Philippines","Tajikistan","2018-03-27","Asian Cup qualifier",2,1,2,1,0,1
"Mongolia","Mauritius","2018-03-27","Friendly",0,2,0,2,0,1
"Tanzania","Democratic Republic of Congo","2018-03-27","Friendly",2,0,2,0,0,1
"Tunisia","Costa Rica","2018-03-27","Friendly",1,0,1,0,0,0
"Namibia","Lesotho","2018-03-27","Friendly",2,1,2,1,0,1
"Morocco","Uzbekistan","2018-03-27","Friendly",2,0,2,0,0,1
"Lebanon","Malaysia","2018-03-27","Asian Cup qualifier",2,1,2,1,0,1
"Australia","Colombia","2018-03-27","Friendly",0,0,0,0,0,0
"Laos","Bangladesh","2018-03-27","Friendly",2,2,2,2,0,1
"Myanmar","Macao","2018-03-27","Asian Cup qualifier",1,0,1,0,0,1
"Russia","France","2018-03-27","Friendly",1,3,1,3,0,1
"United States","Paraguay","2018-03-27","Friendly",1,0,1,0,0,1
"Bosnia and Herzegovina","Senegal","2018-03-27","Friendly",0,0,0,0,0,0
"Netherlands","Portugal","2018-03-26","Friendly",3,0,3,0,0,0
"Curacao","Bolivia","2018-03-26","Friendly",1,0,1,0,0,1
"Finland","Malta","2018-03-26","Friendly",5,0,5,0,0,0
"Uruguay","Wales","2018-03-26","Friendly tournament",1,0,1,0,0,0
"Albania","Norway","2018-03-26","Friendly",0,1,0,1,0,1
"China","Czechia","2018-03-26","Friendly tournament",1,4,1,4,0,1
"Bulgaria","Kazakhstan","2018-03-26","Friendly",2,1,2,1,0,0
"Kuwait","Cameroon","2018-03-25","Friendly",1,3,1,3,0,1
"Faroe Islands","Liechtenstein","2018-03-25","Friendly",3,0,3,0,0,0
"Dominican Republic","Saint Kitts and Nevis","2018-03-25","Friendly",2,1,2,1,0,1
"Gabon","United Arab Emirates","2018-03-25","King's Cup",1,0,1,0,0,0
"Martinique","Trinidad and Tobago","2018-03-25","Friendly",0,0,0,0,0,1
"Congo","Guinea-Bissau","2018-03-25","Friendly",2,0,2,0,0,0
"Thailand","Slovakia","2018-03-25","King's Cup",2,3,2,3,0,1
"Gibraltar","Latvia","2018-03-25","Friendly",1,0,1,0,0,1
"Barbados","Bermuda","2018-03-25","Friendly",0,0,0,0,0,1
"Jamaica","Antigua and Barbuda","2018-03-25","Friendly",1,1,1,1,0,1
"Nicaragua","Cuba","2018-03-25","Friendly",3,3,3,3,0,1
"Botswana","Lesotho","2018-03-24","Friendly",1,0,1,0,0,1
"Sweden","Chile","2018-03-24","Friendly",1,2,1,2,0,1
"Zambia","South Africa","2018-03-24","Friendly tournament",0,2,0,2,0,1
"Armenia","Estonia","2018-03-24","Friendly",0,0,0,0,0,1
"Georgia","Lithuania","2018-03-24","Friendly",4,0,4,0,0,1
"Angola","Zimbabwe","2018-03-24","Friendly tournament",2,2,2,2,0,0
"Northern Ireland","South Korea","2018-03-24","Friendly",2,1,2,1,0,1
"Kosovo","Madagascar","2018-03-24","Friendly",1,0,1,0,0,0
"Canada","New Zealand","2018-03-24","Friendly",1,0,1,0,0,0
"Mauritania","Guinea","2018-03-24","Friendly",2,0,2,0,0,1
"Ivory Coast","Togo","2018-03-24","Friendly",2,2,2,2,0,0
"Qatar","Syria","2018-03-24","Friendly tournament",2,2,2,2,0,0
"Kenya","Comoros","2018-03-24","Friendly",2,2,2,2,0,0
"Israel","Romania","2018-03-24","Friendly",1,2,1,2,0,1
"Uganda","Sao Tome and Principe","2018-03-24","Friendly",3,1,3,1,0,1
"Gambia","Central African Republic","2018-03-23","Friendly",1,1,1,1,0,1
"Norway","Australia","2018-03-23","Friendly",4,1,4,1,0,1
"Greece","Switzerland","2018-03-23","Friendly",0,1,0,1,0,1
"Singapore","Maldives","2018-03-23","Friendly",3,2,3,2,0,1
"Turkey","Ireland","2018-03-23","Friendly",1,0,1,0,0,1
"Portugal","Egypt","2018-03-23","Friendly",2,1,2,1,0,0
"Finland","Macedonia","2018-03-23","Friendly",0,0,0,0,0,0
"Bulgaria","Bosnia and Herzegovina","2018-03-23","Friendly",0,1,0,1,0,1
"Azerbaijan","Belarus","2018-03-23","Friendly",0,1,0,1,0,1
"Peru","Croatia","2018-03-23","Friendly",2,0,2,0,0,0
"Guadeloupe","Trinidad and Tobago","2018-03-23","Friendly",0,1,0,1,0,1
"Curacao","Bolivia","2018-03-23","Friendly",1,1,1,1,0,1
"Russia","Brazil","2018-03-23","Friendly",0,3,0,3,0,1
"Japan","Mali","2018-03-23","Friendly",1,1,1,1,0,0
"Argentina","Italy","2018-03-23","Friendly",2,0,2,0,0,0
"Scotland","Costa Rica","2018-03-23","Friendly",0,1,0,1,0,1
