"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeGoalsFull","AwayGoalsFull","ExtraTimePossible","HomeAdvantage"
"Trinidad and Tobago","United States","1989-11-19","World Cup qual & CONCACAF Champ",0,1,0,1,0,1
"France","Cyprus","1989-11-18","World Cup qualifier",2,0,2,0,0,1
"Egypt","Algeria","1989-11-17","World Cup qualifier",1,0,1,0,0,1
"Switzerland","Luxembourg","1989-11-15","World Cup qualifier",2,1,2,1,0,1
"Soviet Union","Turkey","1989-11-15","World Cup qualifier",2,0,2,0,0,1
"Portugal","Czechoslovakia","1989-11-15","World Cup qualifier",0,0,0,0,0,1
"Malta","Ireland","1989-11-15","World Cup qualifier",0,2,0,2,0,1
"Scotland","Norway","1989-11-15","World Cup qualifier",1,1,1,1,0,1
"Spain","Hungary","1989-11-15","World Cup qualifier",4,0,4,0,0,1
"Netherlands","Finland","1989-11-15","World Cup qualifier",3,0,3,0,0,1
"West Germany","Wales","1989-11-15","World Cup qualifier",2,1,2,1,0,1
"Greece","Bulgaria","1989-11-15","World Cup qualifier",1,0,1,0,0,1
"England","Italy","1989-11-15","Friendly",0,0,0,0,0,1
"Romania","Denmark","1989-11-15","World Cup qualifier",3,1,3,1,0,1
"Austria","East Germany","1989-11-15","World Cup qualifier",3,0,3,0,0,1
"Albania","Poland","1989-11-15","World Cup qualifier",1,2,1,2,0,1
"Brazil","Yugoslavia","1989-11-14","Friendly",0,0,0,0,0,1
"United States","Bermuda","1989-11-14","Friendly",2,1,2,1,0,1
"Iraq","Uganda","1989-11-12","Friendly tournament",1,1,1,1,0,0
"Kuwait","Iran","1989-11-12","Friendly tournament",1,0,1,0,0,1
"Kuwait","Iraq","1989-11-08","Friendly tournament",1,2,1,2,0,1
"Iran","Uganda","1989-11-08","Friendly tournament",2,2,2,2,0,0
"Tunisia","Egypt","1989-11-07","Friendly",0,4,0,4,0,1
"Iran","Iraq","1989-11-05","Friendly tournament",0,0,0,0,0,0
"South Yemen","Guinea","1989-11-05","Friendly tournament",1,0,1,0,0,0
"United States","El Salvador","1989-11-05","World Cup qual & CONCACAF Champ",0,0,0,0,0,1
"Kuwait","Uganda","1989-11-04","Friendly tournament",1,1,1,1,0,1
"Fiji","Solomon Islands","1989-11-04","Melanesian Cup",0,0,0,0,0,1
"New Caledonia","Papua New Guinea","1989-11-04","Melanesian Cup",2,1,2,1,0,0
"New Caledonia","Vanuatu","1989-11-03","Melanesian Cup",5,1,5,1,0,0
"Iraq","South Yemen","1989-11-03","Friendly tournament",6,2,6,2,0,0
"Qatar","Egypt","1989-11-03","Friendly",0,2,0,2,0,1
"Papua New Guinea","Solomon Islands","1989-11-03","Melanesian Cup",0,0,0,0,0,0
"Guinea","Iran","1989-11-03","Friendly tournament",1,1,1,1,0,0
"Uganda","Lebanon","1989-11-02","Friendly tournament",2,0,2,0,0,0
"Tunisia","Algeria","1989-11-01","Friendly",0,0,0,0,0,1
"Iran","South Yemen","1989-11-01","Friendly tournament",2,0,2,0,0,0
"Papua New Guinea","Vanuatu","1989-10-31","Melanesian Cup",3,0,3,0,0,0
"Guinea","Iraq","1989-10-31","Friendly tournament",1,0,1,0,0,0
"Fiji","New Caledonia","1989-10-31","Melanesian Cup",3,0,3,0,0,1
"Fiji","Vanuatu","1989-10-30","Melanesian Cup",2,1,2,1,0,1
"Kuwait","Lebanon","1989-10-30","Friendly tournament",5,0,5,0,0,1
"New Caledonia","Solomon Islands","1989-10-30","Melanesian Cup",2,0,2,0,0,0
"Israel","Colombia","1989-10-30","World Cup qualifier",0,0,0,0,0,1
"Solomon Islands","Vanuatu","1989-10-28","Melanesian Cup",2,0,2,0,0,0
"South Korea","United Arab Emirates","1989-10-28","World Cup qualifier",1,1,1,1,0,0
"Yugoslavia","Cyprus","1989-10-28","World Cup qualifier",2,1,2,1,0,0
"Fiji","Papua New Guinea","1989-10-28","Melanesian Cup",2,1,2,1,0,1
"Saudi Arabia","North Korea","1989-10-28","World Cup qualifier",2,0,2,0,0,0
"Qatar","China","1989-10-28","World Cup qualifier",2,1,2,1,0,0
"India","Nepal","1989-10-26","South Asian Games",2,1,2,1,0,0
"Pakistan","Bangladesh","1989-10-26","South Asian Games",1,0,1,0,0,1
"Poland","Sweden","1989-10-25","World Cup qualifier",0,2,0,2,0,1
"Czechoslovakia","Switzerland","1989-10-25","World Cup qualifier",3,0,3,0,0,1
"Turkey","Austria","1989-10-25","World Cup qualifier",3,0,3,0,0,1
"Trinidad and Tobago","Finland","1989-10-25","Friendly",2,0,2,0,0,1
"Belgium","Luxembourg","1989-10-25","World Cup qualifier",1,1,1,1,0,1
"South Korea","Saudi Arabia","1989-10-25","World Cup qualifier",2,0,2,0,0,0
"Kuwait","Norway","1989-10-25","Friendly",2,2,2,2,0,1
"Hungary","Greece","1989-10-25","Friendly",1,1,1,1,0,1
"India","Sri Lanka","1989-10-25","South Asian Games",2,1,2,1,0,0
"Malta","East Germany","1989-10-25","Friendly",0,4,0,4,0,1
"Pakistan","Maldives","1989-10-24","South Asian Games",2,0,2,0,0,1
"Qatar","United Arab Emirates","1989-10-24","World Cup qualifier",1,1,1,1,0,0
"China","North Korea","1989-10-24","World Cup qualifier",1,0,1,0,0,0
"Bangladesh","India","1989-10-23","South Asian Games",1,1,1,1,0,0
"Trinidad and Tobago","Finland","1989-10-22","Friendly",0,1,0,1,0,1
"Pakistan","Nepal","1989-10-22","South Asian Games",0,0,0,0,0,1
"Liberia","Guinea","1989-10-22","Friendly",2,0,2,0,0,1
"Saudi Arabia","United Arab Emirates","1989-10-21","World Cup qualifier",0,0,0,0,0,0
"Bangladesh","Sri Lanka","1989-10-21","South Asian Games",3,0,3,0,0,0
"Maldives","Nepal","1989-10-20","South Asian Games",0,0,0,0,0,0
"South Korea","China","1989-10-20","World Cup qualifier",1,0,1,0,0,0
"North Korea","Qatar","1989-10-20","World Cup qualifier",2,0,2,0,0,0
"United Arab Emirates","China","1989-10-17","World Cup qualifier",2,1,2,1,0,0
"South Korea","North Korea","1989-10-16","World Cup qualifier",1,0,1,0,0,0
"Qatar","Saudi Arabia","1989-10-16","World Cup qualifier",1,1,1,1,0,0
"Iraq","Kuwait","1989-10-15","Friendly",1,0,1,0,0,1
"Colombia","Israel","1989-10-15","World Cup qualifier",1,0,1,0,0,1
"Guinea","Liberia","1989-10-15","Friendly",1,0,1,0,0,1
"Italy","Brazil","1989-10-14","Friendly",0,1,0,1,0,1
"Qatar","South Korea","1989-10-13","World Cup qualifier",0,0,0,0,0,0
"North Korea","United Arab Emirates","1989-10-12","World Cup qualifier",0,0,0,0,0,0
"China","Saudi Arabia","1989-10-12","World Cup qualifier",2,1,2,1,0,0
"Switzerland","Belgium","1989-10-11","World Cup qualifier",2,2,2,2,0,1
"Portugal","Luxembourg","1989-10-11","World Cup qualifier",3,0,3,0,0,0
"Ireland","Northern Ireland","1989-10-11","World Cup qualifier",3,0,3,0,0,1
"France","Scotland","1989-10-11","World Cup qualifier",3,0,3,0,0,1
"Hungary","Spain","1989-10-11","World Cup qualifier",2,2,2,2,0,1
"Yugoslavia","Norway","1989-10-11","World Cup qualifier",1,0,1,0,0,1
"Cyprus","Malta","1989-10-11","Friendly",0,0,0,0,0,1
"Bulgaria","Greece","1989-10-11","World Cup qualifier",4,0,4,0,0,1
"Poland","England","1989-10-11","World Cup qualifier",0,0,0,0,0,1
"Denmark","Romania","1989-10-11","World Cup qualifier",3,0,3,0,0,1
"Wales","Netherlands","1989-10-11","World Cup qualifier",1,2,1,2,0,1
"Cameroon","Tunisia","1989-10-08","World Cup qualifier",2,0,2,0,0,1
"Sweden","Albania","1989-10-08","World Cup qualifier",3,1,3,1,0,1
"Algeria","Egypt","1989-10-08","World Cup qualifier",0,0,0,0,0,1
"Guatemala","United States","1989-10-08","World Cup qual & CONCACAF Champ",0,0,0,0,0,1
"East Germany","Soviet Union","1989-10-08","World Cup qualifier",2,1,2,1,0,1
"Czechoslovakia","Portugal","1989-10-06","World Cup qualifier",2,1,2,1,0,1
"West Germany","Finland","1989-10-04","World Cup qualifier",6,1,6,1,0,1
"Malta","Austria","1989-10-04","Friendly",1,2,1,2,0,1
"Kuwait","Egypt","1989-09-25","Friendly",0,0,0,0,0,1
"Ecuador","Paraguay","1989-09-24","World Cup qualifier",3,1,3,1,0,1
"Uruguay","Peru","1989-09-24","World Cup qualifier",2,0,2,0,0,1
"Kuwait","Qatar","1989-09-22","Friendly",1,0,1,0,0,1
"Switzerland","Portugal","1989-09-20","World Cup qualifier",1,2,1,2,0,1
"Iceland","Turkey","1989-09-20","World Cup qualifier",2,1,2,1,0,1
"Kuwait","China","1989-09-20","Friendly",2,1,2,1,0,1
"Spain","Poland","1989-09-20","Friendly",1,0,1,0,0,1
"Yugoslavia","Greece","1989-09-20","Friendly",3,0,3,0,0,1
"Italy","Bulgaria","1989-09-20","Friendly",4,0,4,0,0,1
"Uruguay","Bolivia","1989-09-17","World Cup qualifier",2,0,2,0,0,1
"Colombia","Paraguay","1989-09-17","World Cup qualifier",2,1,2,1,0,1
"United States","El Salvador","1989-09-17","World Cup qual & CONCACAF Champ",1,0,1,0,0,0
"South Korea","Egypt","1989-09-16","Friendly",0,1,0,1,0,1
"Peru","Bolivia","1989-09-10","World Cup qualifier",1,2,1,2,0,1
"Paraguay","Ecuador","1989-09-10","World Cup qualifier",2,1,2,1,0,1
"Sweden","England","1989-09-06","World Cup qualifier",0,0,0,0,0,1
"Belgium","Portugal","1989-09-06","World Cup qualifier",3,0,3,0,0,1
"Ireland","West Germany","1989-09-06","Friendly",1,1,1,1,0,1
"Northern Ireland","Hungary","1989-09-06","World Cup qualifier",1,2,1,2,0,1
"Yugoslavia","Scotland","1989-09-06","World Cup qualifier",3,1,3,1,0,1
"Iceland","East Germany","1989-09-06","World Cup qualifier",0,3,0,3,0,1
"Finland","Wales","1989-09-06","World Cup qualifier",1,0,1,0,0,1
"Netherlands","Denmark","1989-09-06","Friendly",2,2,2,2,0,1
"Austria","Soviet Union","1989-09-06","World Cup qualifier",0,0,0,0,0,1
"Norway","France","1989-09-05","World Cup qualifier",1,1,1,1,0,1
"Poland","Greece","1989-09-05","Friendly",3,0,3,0,0,1
"Czechoslovakia","Romania","1989-09-05","Friendly",2,0,2,0,0,1
"Trinidad and Tobago","Guatemala","1989-09-03","World Cup qual & CONCACAF Champ",2,1,2,1,0,1
"Brazil","Chile","1989-09-03","World Cup qualifier",1,0,1,0,0,1
"Ecuador","Colombia","1989-09-03","World Cup qualifier",0,0,0,0,0,1
"Bolivia","Uruguay","1989-09-03","World Cup qualifier",2,1,2,1,0,1
"Trinidad and Tobago","Panama","1989-09-01","Friendly",2,0,2,0,0,1
"Portugal","Romania","1989-08-31","Friendly",0,0,0,0,0,1
"Malaysia","Singapore","1989-08-31","Southeast Asian Games",3,1,3,1,0,1
"Indonesia","Thailand","1989-08-30","Southeast Asian Games",1,1,1,1,0,0
"Singapore","Indonesia","1989-08-28","Southeast Asian Games",1,0,1,0,0,0
"Malaysia","Thailand","1989-08-28","Southeast Asian Games",1,0,1,0,0,1
"Cameroon","Nigeria","1989-08-27","World Cup qualifier",1,0,1,0,0,1
"Gabon","Angola","1989-08-27","World Cup qualifier",1,0,1,0,0,1
"Chile","Venezuela","1989-08-27","World Cup qualifier",5,0,5,0,0,0
"Peru","Uruguay","1989-08-27","World Cup qualifier",0,2,0,2,0,1
"Morocco","Zaire","1989-08-27","World Cup qualifier",1,1,1,1,0,1
"Tunisia","Zambia","1989-08-27","World Cup qualifier",1,0,1,0,0,1
"Paraguay","Colombia","1989-08-27","World Cup qualifier",2,1,2,1,0,1
"Malawi","Liberia","1989-08-26","World Cup qualifier",0,0,0,0,0,1
"Singapore","Myanmar","1989-08-26","Southeast Asian Games",4,0,4,0,0,0
"Egypt","Kenya","1989-08-26","World Cup qualifier",2,0,2,0,0,1
"Algeria","Ivory Coast","1989-08-25","World Cup qualifier",1,0,1,0,0,1
"Malaysia","Indonesia","1989-08-25","Southeast Asian Games",2,0,2,0,0,1
"Brunei","Philippines","1989-08-25","Southeast Asian Games",2,0,2,0,0,0
"Singapore","Thailand","1989-08-24","Southeast Asian Games",1,1,1,1,0,0
"Indonesia","Philippines","1989-08-23","Southeast Asian Games",5,1,5,1,0,0
"Austria","Iceland","1989-08-23","World Cup qualifier",2,1,2,1,0,1
"Finland","Yugoslavia","1989-08-23","Friendly",2,2,2,2,0,1
"Norway","Greece","1989-08-23","Friendly",0,0,0,0,0,1
"Belgium","Denmark","1989-08-23","Friendly",3,0,3,0,0,1
"Malaysia","Brunei","1989-08-23","Southeast Asian Games",2,1,2,1,0,1
"Poland","Soviet Union","1989-08-23","Friendly",1,1,1,1,0,1
"East Germany","Bulgaria","1989-08-23","Friendly",1,1,1,1,0,1
"Thailand","Myanmar","1989-08-22","Southeast Asian Games",3,0,3,0,0,0
"Indonesia","Brunei","1989-08-21","Southeast Asian Games",6,0,6,0,0,0
"Malaysia","Philippines","1989-08-21","Southeast Asian Games",3,0,3,0,0,1
"Bolivia","Peru","1989-08-20","World Cup qualifier",2,1,2,1,0,1
"Guatemala","Trinidad and Tobago","1989-08-20","World Cup qual & CONCACAF Champ",0,1,0,1,0,1
"Brazil","Venezuela","1989-08-20","World Cup qualifier",6,0,6,0,0,1
"Colombia","Ecuador","1989-08-20","World Cup qualifier",2,0,2,0,0,1
"Sweden","France","1989-08-16","Friendly",2,4,2,4,0,1
"Zaire","Zambia","1989-08-13","World Cup qualifier",1,0,1,0,0,1
"Cameroon","Gabon","1989-08-13","World Cup qualifier",2,1,2,1,0,1
"El Salvador","Trinidad and Tobago","1989-08-13","World Cup qual & CONCACAF Champ",0,0,0,0,0,0
"Chile","Brazil","1989-08-13","World Cup qualifier",1,1,1,1,0,1
"United States","South Korea","1989-08-13","Friendly tournament",1,2,1,2,0,1
"Ivory Coast","Zimbabwe","1989-08-13","World Cup qualifier",5,0,5,0,0,1
"Morocco","Tunisia","1989-08-13","World Cup qualifier",0,0,0,0,0,1
"Nigeria","Angola","1989-08-12","World Cup qualifier",1,0,1,0,0,1
"Kenya","Liberia","1989-08-12","World Cup qualifier",1,0,1,0,0,1
"Egypt","Malawi","1989-08-11","World Cup qualifier",1,0,1,0,0,1
"Mexico","South Korea","1989-08-10","Friendly tournament",4,2,4,2,0,0
"Venezuela","Chile","1989-08-06","World Cup qualifier",1,3,1,3,0,1
"Uruguay","Colombia","1989-08-06","Friendly",0,0,0,0,0,1
"Tunisia","Malawi","1989-08-05","Friendly",3,0,3,0,0,1
"Trinidad and Tobago","El Salvador","1989-07-30","World Cup qual & CONCACAF Champ",2,0,2,0,0,1
"Venezuela","Brazil","1989-07-30","World Cup qualifier",0,4,0,4,0,1
"Zaire","Egypt","1989-07-30","African Nations Cup qualifier",0,0,0,0,0,1
"Ivory Coast","Mali","1989-07-30","African Nations Cup qualifier",3,1,3,1,0,1
"Zimbabwe","Nigeria","1989-07-30","African Nations Cup qualifier",1,1,1,1,0,1
"Kenya","Malawi","1989-07-29","African Nations Cup qualifier",0,0,0,0,0,1
"China","Thailand","1989-07-29","World Cup qualifier",2,0,2,0,0,1
"Algeria","Qatar","1989-07-26","Friendly",1,1,1,1,0,1
"Chile","Peru","1989-07-25","Friendly",2,1,2,1,0,1
"Brazil","Japan","1989-07-23","Friendly",1,0,1,0,0,1
"Iran","China","1989-07-22","World Cup qualifier",3,2,3,2,0,1
"Egypt","Qatar","1989-07-21","Friendly",3,3,3,3,0,1
"Zambia","Gabon","1989-07-16","African Nations Cup qualifier",3,0,3,0,0,1
"Brazil","Uruguay","1989-07-16","Copa America",1,0,1,0,0,1
"Argentina","Paraguay","1989-07-16","Copa America",0,0,0,0,0,0
"Egypt","Zaire","1989-07-16","African Nations Cup qualifier",2,0,2,0,0,1
"Mali","Ivory Coast","1989-07-16","African Nations Cup qualifier",2,2,2,2,0,1
"Tunisia","Senegal","1989-07-16","African Nations Cup qualifier",0,1,0,1,0,1
"Costa Rica","El Salvador","1989-07-16","World Cup qual & CONCACAF Champ",1,0,1,0,0,1
"China","Iran","1989-07-15","World Cup qualifier",2,0,2,0,0,1
"Nigeria","Zimbabwe","1989-07-15","African Nations Cup qualifier",3,0,3,0,0,1
"Malawi","Kenya","1989-07-14","African Nations Cup qualifier",2,3,2,3,0,1
"Brazil","Paraguay","1989-07-14","Copa America",3,0,3,0,0,1
"Uruguay","Argentina","1989-07-14","Copa America",2,0,2,0,0,0
"Brazil","Argentina","1989-07-12","Copa America",2,0,2,0,0,1
"Uruguay","Paraguay","1989-07-12","Copa America",3,0,3,0,0,0
"Malawi","Mozambique","1989-07-11","Friendly tournament",0,2,0,2,0,1
"Argentina","Bolivia","1989-07-10","Copa America",0,0,0,0,0,0
"Chile","Ecuador","1989-07-10","Copa America",2,1,2,1,0,0
"Kenya","Zaire","1989-07-10","Friendly",0,1,0,1,0,1
"Faroe Islands","Greenland","1989-07-09","Island Games",3,0,3,0,0,1
"North Korea","Indonesia","1989-07-09","World Cup qualifier",2,1,2,1,0,1
"Colombia","Peru","1989-07-09","Copa America",1,1,1,1,0,0
"Malawi","Mozambique","1989-07-09","Friendly tournament",0,1,0,1,0,1
"Trinidad and Tobago","Grenada","1989-07-09","Caribbean Championship",2,1,2,1,0,0
"Brazil","Paraguay","1989-07-09","Copa America",2,0,2,0,0,1
"Chile","Bolivia","1989-07-08","Copa America",5,0,5,0,0,0
"Argentina","Uruguay","1989-07-08","Copa America",1,0,1,0,0,0
"Gabon","Mozambique","1989-07-07","Friendly tournament",1,0,1,0,0,0
"Guadeloupe","Trinidad and Tobago","1989-07-07","Caribbean Championship",2,0,2,0,0,0
"Brazil","Colombia","1989-07-07","Copa America",0,0,0,0,0,1
"Paraguay","Venezuela","1989-07-07","Copa America",3,0,3,0,0,0
"Malawi","Gabon","1989-07-06","Friendly tournament",2,0,2,0,0,1
"Uruguay","Chile","1989-07-06","Copa America",3,0,3,0,0,0
"Grenada","Netherlands Antilles","1989-07-06","Caribbean Championship",1,1,1,1,0,0
"Bolivia","Ecuador","1989-07-06","Copa America",0,0,0,0,0,0
"Barbados","Trinidad and Tobago","1989-07-05","Caribbean Championship",0,3,0,3,0,1
"Paraguay","Colombia","1989-07-05","Copa America",1,0,1,0,0,0
"Peru","Venezuela","1989-07-05","Copa America",1,1,1,1,0,0
"Uruguay","Bolivia","1989-07-04","Copa America",3,0,3,0,0,0
"Argentina","Ecuador","1989-07-04","Copa America",0,0,0,0,0,0
"Netherlands Antilles","Saint Vincent and the Grenadines","1989-07-04","Caribbean Championship",1,1,1,1,0,0
"Brazil","Peru","1989-07-03","Copa America",0,0,0,0,0,1
"Colombia","Venezuela","1989-07-03","Copa America",4,2,4,2,0,0
"Barbados","Guadeloupe","1989-07-03","Caribbean Championship",1,0,1,0,0,1
"North Korea","Hong Kong","1989-07-02","World Cup qualifier",4,1,4,1,0,1
"Argentina","Chile","1989-07-02","Copa America",1,0,1,0,0,0
"Ecuador","Uruguay","1989-07-02","Copa America",1,0,1,0,0,0
"Grenada","Saint Vincent and the Grenadines","1989-07-02","Caribbean Championship",2,0,2,0,0,0
"Senegal","Tunisia","1989-07-02","African Nations Cup qualifier",3,0,3,0,0,1
"Brazil","Venezuela","1989-07-01","Copa America",3,1,3,1,0,1
"Paraguay","Peru","1989-07-01","Copa America",5,2,5,2,0,0
"Colombia","Haiti","1989-06-27","Friendly",4,0,4,0,0,0
"Chile","Bolivia","1989-06-27","Friendly",2,1,2,1,0,1
"Angola","Cameroon","1989-06-25","World Cup qualifier",1,2,1,2,0,1
"Zimbabwe","Algeria","1989-06-25","World Cup qualifier",1,2,1,2,0,1
"Indonesia","Hong Kong","1989-06-25","World Cup qualifier",3,2,3,2,0,1
"Venezuela","Peru","1989-06-25","Friendly",3,1,3,1,0,1
"North Korea","Japan","1989-06-25","World Cup qualifier",2,0,2,0,0,1
"Liberia","Egypt","1989-06-25","World Cup qualifier",1,0,1,0,0,1
"Tunisia","Zaire","1989-06-25","World Cup qualifier",1,0,1,0,0,1
"El Salvador","Costa Rica","1989-06-25","World Cup qual & CONCACAF Champ",2,4,2,4,0,1
"Gabon","Nigeria","1989-06-25","World Cup qualifier",2,1,2,1,0,1
"Zambia","Morocco","1989-06-25","World Cup qualifier",2,1,2,1,0,1
"Malawi","Kenya","1989-06-24","World Cup qualifier",1,0,1,0,0,1
"United States","Colombia","1989-06-24","Friendly",0,1,0,1,0,1
"Bolivia","Chile","1989-06-22","Friendly",0,1,0,1,0,1
"Switzerland","Brazil","1989-06-21","Friendly",1,0,1,0,0,1
"Peru","Ecuador","1989-06-20","Friendly tournament",2,1,2,1,0,0
"Uruguay","Chile","1989-06-19","Friendly",2,2,2,2,0,1
"Saint Vincent and the Grenadines","British Virgin Islands","1989-06-19","Caribbean Championship qualifier",2,0,2,0,0,1
"Aruba","Saint Kitts and Nevis","1989-06-18","Caribbean Championship qualifier",1,4,1,4,0,1
"Japan","Hong Kong","1989-06-18","World Cup qualifier",0,0,0,0,0,1
"Denmark","Brazil","1989-06-18","Friendly tournament",4,0,4,0,0,1
"Sint Maarten","Netherlands Antilles","1989-06-18","Caribbean Championship qualifier",1,2,1,2,0,1
"Jamaica","Saint Lucia","1989-06-18","Caribbean Championship qualifier",1,1,1,1,0,1
"United States","Guatemala","1989-06-17","World Cup qual & CONCACAF Champ",2,1,2,1,0,1
"Zimbabwe","Zambia","1989-06-16","Friendly",0,0,0,0,0,1
"Sweden","Brazil","1989-06-16","Friendly tournament",2,1,2,1,0,0
"Trinidad and Tobago","Peru","1989-06-16","Friendly tournament",2,1,2,1,0,1
"Egypt","Tunisia","1989-06-16","Friendly",1,1,1,1,0,1
"Denmark","Sweden","1989-06-14","Friendly tournament",6,0,6,0,0,1
"Iceland","Austria","1989-06-14","World Cup qualifier",0,0,0,0,0,1
"Uruguay","Bolivia","1989-06-14","Friendly",1,0,1,0,0,1
"Norway","Yugoslavia","1989-06-14","World Cup qualifier",1,2,1,2,0,1
"Japan","Indonesia","1989-06-11","World Cup qualifier",5,0,5,0,0,1
"Liberia","Malawi","1989-06-11","World Cup qualifier",1,0,1,0,0,1
"Angola","Gabon","1989-06-11","World Cup qualifier",2,0,2,0,0,1
"Costa Rica","Trinidad and Tobago","1989-06-11","World Cup qual & CONCACAF Champ",1,0,1,0,0,1
"Ivory Coast","Algeria","1989-06-11","World Cup qualifier",0,0,0,0,0,1
"Zaire","Morocco","1989-06-11","World Cup qualifier",0,0,0,0,0,1
"Zambia","Tunisia","1989-06-11","World Cup qualifier",1,0,1,0,0,1
"Nigeria","Cameroon","1989-06-10","World Cup qualifier",2,0,2,0,0,1
"Kenya","Egypt","1989-06-10","World Cup qualifier",0,0,0,0,0,1
"Brazil","Portugal","1989-06-08","Friendly",4,0,4,0,0,1
"Bolivia","Uruguay","1989-06-08","Friendly",0,0,0,0,0,1
"Canada","Belgium","1989-06-08","Friendly",0,2,0,2,0,1
"French Guiana","Aruba","1989-06-08","Caribbean Championship qualifier",4,0,4,0,0,1
"Switzerland","Czechoslovakia","1989-06-07","World Cup qualifier",0,1,0,1,0,1
"Singapore","South Korea","1989-06-07","World Cup qualifier",0,3,0,3,0,1
"Malaysia","Nepal","1989-06-07","World Cup qualifier",3,0,3,0,0,0
"Netherlands Antilles","British Virgin Islands","1989-06-07","Caribbean Championship qualifier",4,0,4,0,0,1
"Denmark","England","1989-06-07","Friendly",1,1,1,1,0,1
"Martinique","Sint Maarten","1989-06-07","Caribbean Championship qualifier",10,0,10,0,0,1
"Seychelles","Mauritius","1989-06-06","Friendly",1,2,1,2,0,1
"Grenada","Trinidad and Tobago","1989-06-06","Caribbean Championship qualifier",1,0,1,0,0,1
"South Korea","Malaysia","1989-06-05","World Cup qualifier",3,0,3,0,0,0
"Singapore","Nepal","1989-06-05","World Cup qualifier",7,0,7,0,0,1
"Hong Kong","Indonesia","1989-06-04","World Cup qualifier",1,1,1,1,0,1
"Ireland","Hungary","1989-06-04","World Cup qualifier",2,0,2,0,0,1
"Japan","North Korea","1989-06-04","World Cup qualifier",2,1,2,1,0,1
"Dominica","Jamaica","1989-06-04","Caribbean Championship qualifier",0,0,0,0,0,1
"Mali","Guinea","1989-06-04","Amilcar Cabral Cup",3,0,3,0,0,1
"Gabon","Zaire","1989-06-04","Friendly",0,0,0,0,0,1
"United States","Peru","1989-06-04","Friendly tournament",3,0,3,0,0,1
"Cape Verde","Sierra Leone","1989-06-03","Amilcar Cabral Cup",1,0,1,0,0,0
"Malawi","Tunisia","1989-06-03","Friendly",1,0,1,0,0,1
"South Korea","Nepal","1989-06-03","World Cup qualifier",4,0,4,0,0,0
"Singapore","Malaysia","1989-06-03","World Cup qualifier",2,2,2,2,0,1
"Egypt","Chile","1989-06-03","Friendly",2,0,2,0,0,1
"England","Poland","1989-06-03","World Cup qualifier",3,0,3,0,0,1
"Guinea","Cape Verde","1989-06-02","Amilcar Cabral Cup",1,0,1,0,0,0
"Mali","Sierra Leone","1989-06-02","Amilcar Cabral Cup",1,0,1,0,0,1
"Belgium","Luxembourg","1989-06-01","World Cup qualifier",5,0,5,0,0,0
"Ivory Coast","Zaire","1989-06-01","Friendly",1,1,1,1,0,1
"Paraguay","Bolivia","1989-06-01","Friendly",2,0,2,0,0,1
"Sweden","Algeria","1989-05-31","Friendly",2,0,2,0,0,1
"Soviet Union","Iceland","1989-05-31","World Cup qualifier",1,1,1,1,0,1
"Finland","Netherlands","1989-05-31","World Cup qualifier",0,1,0,1,0,1
"Wales","West Germany","1989-05-31","World Cup qualifier",0,0,0,0,0,1
"Norway","Austria","1989-05-31","Friendly",4,1,4,1,0,1
"Cape Verde","Senegal","1989-05-30","Amilcar Cabral Cup",2,1,2,1,0,0
"Scotland","Chile","1989-05-30","Friendly tournament",2,0,2,0,0,1
"Guinea","Mauritania","1989-05-30","Amilcar Cabral Cup",3,1,3,1,0,0
"Mali","Guinea-Bissau","1989-05-30","Amilcar Cabral Cup",2,1,2,1,0,1
"Iran","Thailand","1989-05-30","World Cup qualifier",3,0,3,0,0,1
"Egypt","Tunisia","1989-05-29","Friendly",1,0,1,0,0,1
"Indonesia","Japan","1989-05-28","World Cup qualifier",0,0,0,0,0,1
"Ireland","Malta","1989-05-28","World Cup qualifier",2,0,2,0,0,1
"Trinidad and Tobago","Costa Rica","1989-05-28","World Cup qual & CONCACAF Champ",1,1,1,1,0,1
"Guinea","Sierra Leone","1989-05-28","Amilcar Cabral Cup",1,0,1,0,0,0
"Hong Kong","North Korea","1989-05-27","World Cup qualifier",1,2,1,2,0,1
"Guinea-Bissau","Cape Verde","1989-05-27","Amilcar Cabral Cup",3,2,3,2,0,0
"South Korea","Malaysia","1989-05-27","World Cup qualifier",3,0,3,0,0,1
"Scotland","England","1989-05-27","Friendly tournament",0,2,0,2,0,1
"Singapore","Nepal","1989-05-27","World Cup qualifier",3,0,3,0,0,0
"Belgium","Yugoslavia","1989-05-27","Friendly",1,0,1,0,0,1
"Mali","Senegal","1989-05-27","Amilcar Cabral Cup",2,2,2,2,0,1
"Northern Ireland","Chile","1989-05-26","Friendly",0,1,0,1,0,1
"Sierra Leone","Mauritania","1989-05-26","Amilcar Cabral Cup",2,1,2,1,0,0
"Mali","Cape Verde","1989-05-25","Amilcar Cabral Cup",1,1,1,1,0,1
"Bolivia","Paraguay","1989-05-25","Friendly",3,2,3,2,0,1
"South Korea","Nepal","1989-05-25","World Cup qualifier",9,0,9,0,0,1
"Malaysia","Singapore","1989-05-25","World Cup qualifier",1,0,1,0,0,0
"Peru","Brazil","1989-05-24","Friendly",1,1,1,1,0,1
"Morocco","Algeria","1989-05-24","Friendly",1,0,1,0,0,1
