"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"Uruguay","Paraguay","2015-06-20","COP-G",1,1,0,1.3064,0.8618,1.2637,0.9054,0.1729,-0.2201,0.1295,-0.1298,0.1685,-0.2116,0.1335,-0.1388,0.4906,0.2679,0.2415,0.835,0
"Chile","Bolivia","2015-06-20","COP-G",5,0,1,1.5213,0.6178,1.685,0.456,0.2382,-0.2194,0.0898,-0.0961,0.2649,-0.242,0.0699,-0.0672,0.7705,0.1419,0.0876,0.0805,1
"Argentina","Jamaica","2015-06-20","COP-G",1,0,0,1.7044,0.7145,1.6969,0.7219,0.2354,-0.2773,0.0737,-0.1412,0.2285,-0.282,0.0715,-0.1456,0.633,0.2327,0.1343,0.2069,1
"Peru","Venezuela","2015-06-19","COP-G",1,0,0,0.7568,0.9187,0.862,0.8155,0.1109,-0.1167,0.116,-0.1603,0.1175,-0.1418,0.0949,-0.1504,0.3131,0.2822,0.4047,0.7153,0
"Mexico","Ecuador","2015-06-19","COP-G",1,2,0,1.3752,0.9097,1.2602,1.0237,0.2101,-0.2036,0.1313,-0.1424,0.1957,-0.1834,0.153,-0.1549,0.5083,0.2542,0.2375,0.9044,0
"Brazil","Colombia","2015-06-18","COP-G",0,1,0,1.4324,1.5492,1.3542,1.6255,0.2323,-0.1986,0.2254,-0.2406,0.2074,-0.1999,0.2285,-0.2604,0.3324,0.2647,0.4029,0.5371,1
"Argentina","Uruguay","2015-06-17","COP-G",1,0,0,1.6423,1.3682,1.7044,1.3064,0.2332,-0.2608,0.1887,-0.2229,0.2354,-0.2773,0.1729,-0.2201,0.4356,0.2816,0.2828,0.4778,1
"Paraguay","Jamaica","2015-06-16","COP-G",1,0,0,0.7678,0.8048,0.8618,0.7145,0.1275,-0.1034,0.0914,-0.1507,0.1295,-0.1298,0.0737,-0.1412,0.3493,0.2801,0.3706,0.6392,0
"Chile","Mexico","2015-06-16","COP-G",3,3,1,1.5926,1.3044,1.5213,1.3752,0.2305,-0.2486,0.1795,-0.2128,0.2382,-0.2194,0.2101,-0.2036,0.5586,0.2327,0.2087,0.9443,0
"Ecuador","Bolivia","2015-06-15","COP-G",2,3,0,1.0154,0.5118,0.9097,0.6178,0.1269,-0.1786,0.0541,-0.0998,0.1313,-0.1424,0.0898,-0.0961,0.4949,0.2786,0.2265,0.9208,0
"Colombia","Venezuela","2015-06-14","COP-G",0,1,0,1.7365,0.7347,1.5492,0.9187,0.264,-0.2584,0.0953,-0.1257,0.2254,-0.2406,0.116,-0.1603,0.6676,0.2043,0.1281,1.2476,0
"Brazil","Peru","2015-06-14","COP-G",2,1,0,1.4275,0.7616,1.4324,0.7568,0.2312,-0.1982,0.1066,-0.1225,0.2323,-0.1986,0.1109,-0.1167,0.5785,0.2307,0.1908,0.2673,1
"Uruguay","Jamaica","2015-06-13","COP-G",1,0,0,1.3258,0.8465,1.3682,0.8048,0.1905,-0.2084,0.1028,-0.1518,0.1887,-0.2229,0.0914,-0.1507,0.496,0.2712,0.2328,0.3818,1
"Mexico","Bolivia","2015-06-13","COP-G",0,0,0,1.4001,0.4169,1.3044,0.5118,0.2107,-0.2105,0.0551,-0.0703,0.1795,-0.2128,0.0541,-0.0998,0.6658,0.2036,0.1306,1.0946,0
"Argentina","Paraguay","2015-06-13","COP-G",2,2,0,1.7459,0.6612,1.6423,0.7678,0.2332,-0.2919,0.1021,-0.0968,0.2332,-0.2608,0.1275,-0.1034,0.681,0.2024,0.1166,1.1135,0
"Chile","Ecuador","2015-06-12","COP-G",2,0,1,1.5071,1.0991,1.5926,1.0154,0.2241,-0.2292,0.1419,-0.1887,0.2305,-0.2486,0.1269,-0.1786,0.5974,0.221,0.1816,0.2439,1
