HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,Youth
Denmark,Armenia,09/04/16,WOC-Q-Europe,1,0,1,0
Kazakhstan,Poland,09/04/16,WOC-Q-Europe,2,2,1,0
Lithuania,Slovenia,09/04/16,WOC-Q-Europe,2,2,1,0
Malta,Scotland,09/04/16,WOC-Q-Europe,1,5,1,0
Norway,Germany,09/04/16,WOC-Q-Europe,0,3,1,0
Romania,Montenegro,09/04/16,WOC-Q-Europe,1,1,1,0
San Marino,Azerbaijan,09/04/16,WOC-Q-Europe,0,1,1,0
Slovakia,England,09/04/16,WOC-Q-Europe,0,1,1,0
El Salvador,Mexico,09/03/16,WOC-Q-North America,1,3,1,0
Haiti,Costa Rica,09/03/16,WOC-Q-North America,0,1,1,0
Panama,Jamaica,09/03/16,WOC-Q-North America,2,0,1,0
Trinidad and Tobago,Guatemala,09/03/16,WOC-Q-North America,2,2,1,0
Honduras,Canada,09/02/16,WOC-Q-North America,2,1,1,0
Saint Vincent and the Grenadines,United States,09/02/16,WOC-Q-North America,0,6,1,0
Argentina,Uruguay,09/02/16,WOC-Q-South America,1,0,1,0
Paraguay,Chile,09/02/16,WOC-Q-South America,2,1,1,0
Bolivia,Peru,09/01/16,WOC-Q-South America,2,0,1,0
Colombia,Venezuela,09/01/16,WOC-Q-South America,2,0,1,0
Ecuador,Brazil,09/01/16,WOC-Q-South America,0,3,1,0
France,Portugal,07/10/16,EUC-K,0,1,1,0
France,Germany,07/07/16,EUC-K,2,0,1,0
Portugal,Wales,07/06/16,EUC-K,2,0,0,0
France,Iceland,07/03/16,EUC-K,5,2,1,0
Germany,Italy,07/02/16,EUC-K,1,1,0,0
Wales,Belgium,07/01/16,EUC-K,3,1,0,0
Poland,Portugal,06/30/16,EUC-K,1,1,0,0
Argentina,Chile,06/27/16,COP-K,0,0,0,0
England,Iceland,06/27/16,EUC-K,1,2,0,0
Italy,Spain,06/27/16,EUC-K,2,0,0,0
United States,Colombia,06/26/16,COP-K,0,1,1,0
France,Republic of Ireland,06/26/16,EUC-K,2,1,1,0
Germany,Slovakia,06/26/16,EUC-K,3,0,0,0
Hungary,Belgium,06/26/16,EUC-K,0,4,0,0
Croatia,Portugal,06/25/16,EUC-K,0,1,0,0
Switzerland,Poland,06/25/16,EUC-K,1,1,0,0
Wales,Northern Ireland,06/25/16,EUC-K,1,0,0,0
Colombia,Chile,06/23/16,COP-K,0,2,0,0
United States,Argentina,06/22/16,COP-K,0,4,1,0
Hungary,Portugal,06/22/16,EUC-G,3,3,0,0
Iceland,Austria,06/22/16,EUC-G,2,1,0,0
Italy,Republic of Ireland,06/22/16,EUC-G,0,1,0,0
Sweden,Belgium,06/22/16,EUC-G,0,1,0,0
Croatia,Spain,06/21/16,EUC-G,2,1,0,0
Czech Republic,Turkey,06/21/16,EUC-G,0,2,0,0
Northern Ireland,Germany,06/21/16,EUC-G,0,1,0,0
Ukraine,Poland,06/21/16,EUC-G,0,1,0,0
Russia,Wales,06/20/16,EUC-G,0,3,0,0
Slovakia,England,06/20/16,EUC-G,0,0,0,0
Argentina,Venezuela,06/19/16,COP-K,4,1,0,0
Mexico,Chile,06/19/16,COP-K,0,7,0,0
France,Switzerland,06/19/16,EUC-G,0,0,1,0
Romania,Albania,06/19/16,EUC-G,0,1,0,0
Peru,Colombia,06/18/16,COP-K,0,0,0,0
Belgium,Republic of Ireland,06/18/16,EUC-G,3,0,0,0
Iceland,Hungary,06/18/16,EUC-G,1,1,0,0
Portugal,Austria,06/18/16,EUC-G,0,0,0,0
United States,Ecuador,06/17/16,COP-K,2,1,1,0
Czech Republic,Croatia,06/17/16,EUC-G,2,2,0,0
Italy,Sweden,06/17/16,EUC-G,1,0,0,0
Spain,Turkey,06/17/16,EUC-G,3,0,0,0
England,Wales,06/16/16,EUC-G,2,1,0,0
Germany,Poland,06/16/16,EUC-G,0,0,0,0
Ukraine,Northern Ireland,06/16/16,EUC-G,0,2,0,0
Argentina,Bolivia,06/15/16,COP-G,3,0,0,0
