HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAttackNext,HomeDefenseNext,AwayAttackNext,AwayDefenseNext
"Turkey","Latvia","2015/09/03","EUC-Q",1,1,1,-0.0137,0.0769,-0.2632,0.3138,-0.019,0.1169,-0.2217,0.3083
"Belarus","Spain","2015/06/14","EUC-Q",0,1,1,-0.1133,0.3599,0.3795,-0.2606,-0.1461,0.3336,0.3606,-0.2842
"Estonia","San Marino","2015/06/14","EUC-Q",2,0,1,-0.3607,0.2994,-0.8524,0.7508,-0.3559,0.2796,-0.8726,0.7558
"Liechtenstein","Moldova","2015/06/14","EUC-Q",1,1,1,-0.5269,0.3748,-0.2643,0.3298,-0.4958,0.392,-0.2469,0.3614
"Lithuania","Switzerland","2015/06/14","EUC-Q",1,2,1,-0.312,0.1651,0.1524,-0.1071,-0.2619,0.1861,0.17,-0.0649
"Russia","Austria","2015/06/14","EUC-Q",0,1,1,0.0726,-0.0113,0.1332,-0.0441,0.0297,0.0026,0.1492,-0.0938
"Slovakia","Macedonia","2015/06/14","EUC-Q",2,1,1,0.1195,0.0799,-0.1911,0.3892,0.1165,0.1137,-0.1565,0.3861
"Slovenia","England","2015/06/14","EUC-Q",2,3,1,-0.0047,0.0021,0.3097,-0.2029,0.0473,0.0357,0.3388,-0.1578
"Sweden","Montenegro","2015/06/14","EUC-Q",3,1,1,0.2665,-0.0017,-0.1169,0.1475,0.28,0.0315,-0.0817,0.1618
"Ukraine","Luxembourg","2015/06/14","EUC-Q",3,0,1,-0.0271,-0.1592,-0.4211,0.5477,-0.0204,-0.1783,-0.44,0.5543
"Armenia","Portugal","2015/06/13","EUC-Q",2,3,1,-0.0076,0.2479,0.1568,-0.0355,0.0332,0.2761,0.1805,-0.0011
"Denmark","Serbia","2015/06/13","EUC-Q",2,0,1,0.2315,0.0792,0.0609,0.2246,0.2319,0.0194,0.0007,0.225
"Faroe Islands","Greece","2015/06/13","EUC-Q",2,1,1,-0.4117,0.4715,-0.0995,-0.0153,-0.3398,0.47,-0.1008,0.0441
"Finland","Hungary","2015/06/13","EUC-Q",0,1,1,-0.1128,0.2411,0.032,0.1035,-0.1635,0.2466,0.0372,0.0548
"Gibraltar","Germany","2015/06/13","EUC-Q",0,7,1,-0.6107,0.7128,0.4703,-0.1566,-0.6224,0.7057,0.4674,-0.1613
"Northern Ireland","Romania","2015/06/13","EUC-Q",0,0,1,-0.0615,0.2046,0.0907,-0.1041,-0.102,0.1439,0.0294,-0.1449
"Poland","Georgia","2015/06/13","EUC-Q",4,0,1,0.233,0.143,-0.3119,0.2186,0.2534,0.101,-0.3561,0.24
"Republic of Ireland","Scotland","2015/06/13","EUC-Q",1,1,1,0.0138,0.1268,0.0445,0.1104,0.0199,0.1385,0.0573,0.1171
"Andorra","Cyprus","2015/06/12","EUC-Q",1,3,1,-0.7597,0.6708,-0.1758,0.3363,-0.71,0.6901,-0.1563,0.3865
"Bosnia-Herzegovina","Israel","2015/06/12","EUC-Q",3,1,1,0.081,0.1408,0.0427,0.3065,0.095,0.1509,0.0541,0.3224
"Croatia","Italy","2015/06/12","EUC-Q",1,1,1,0.2605,-0.047,0.2426,-0.0579,0.2614,-0.0379,0.2505,-0.0571
"Iceland","Czech Republic","2015/06/12","EUC-Q",2,1,1,0.219,0.0669,0.1757,0.0869,0.2301,0.0744,0.1825,0.097
"Kazakhstan","Turkey","2015/06/12","EUC-Q",0,1,1,-0.2274,0.4075,-0.0106,0.1195,-0.2711,0.4044,-0.0137,0.0769
"Latvia","Netherlands","2015/06/12","EUC-Q",0,2,1,-0.2323,0.3219,0.405,-0.1365,-0.2632,0.3138,0.3995,-0.1575
"Malta","Bulgaria","2015/06/12","EUC-Q",0,1,1,-0.4551,0.4902,0.0013,0.228,-0.4925,0.481,-0.0081,0.1896
"Norway","Azerbaijan","2015/06/12","EUC-Q",0,0,1,-0.0415,0.1561,-0.2166,0.3319,-0.1037,0.1094,-0.2627,0.2706
"Wales","Belgium","2015/06/12","EUC-Q",1,0,1,-0.0875,0.1617,0.1989,-0.1128,-0.0562,0.0968,0.1499,-0.0888
"Israel","Belgium","2015/03/31","EUC-Q",0,1,1,0.0917,0.3178,0.2074,-0.0759,0.0427,0.3065,0.1989,-0.1128
"Albania","Armenia","2015/03/29","EUC-Q",2,1,1,-0.0515,0.0812,-0.0309,0.2254,-0.0285,0.1051,-0.0076,0.2479
"Georgia","Germany","2015/03/29","EUC-Q",0,2,1,-0.2814,0.2254,0.4743,-0.1387,-0.3119,0.2186,0.4703,-0.1566
"Hungary","Greece","2015/03/29","EUC-Q",0,0,1,0.0862,0.157,-0.0578,0.027,0.032,0.1035,-0.0995,-0.0153
"Northern Ireland","Finland","2015/03/29","EUC-Q",2,1,1,-0.0852,0.1832,-0.1356,0.2159,-0.0615,0.2046,-0.1128,0.2411
"Portugal","Serbia","2015/03/29","EUC-Q",2,1,1,0.1511,-0.0602,0.0303,0.2175,0.1568,-0.0355,0.0609,0.2246
"Republic of Ireland","Poland","2015/03/29","EUC-Q",1,1,1,0.0092,0.1275,0.2338,0.138,0.0138,0.1268,0.233,0.143
"Romania","Faroe Islands","2015/03/29","EUC-Q",1,0,1,0.1148,-0.0791,-0.3869,0.4955,0.0907,-0.1041,-0.4117,0.4715
"Scotland","Gibraltar","2015/03/29","EUC-Q",6,1,1,0.0321,0.0099,-0.7876,0.6903,0.0445,0.1104,-0.6107,0.7128
"Andorra","Bosnia-Herzegovina","2015/03/28","EUC-Q",0,3,1,-0.7415,0.6698,0.0802,0.1563,-0.7597,0.6708,0.081,0.1408
