"Player","Contest","Year","Apps","Goals"
"Tomas Oravec","WOC-Q",2002,3,1
"Tomas Pekhart","WOC-Q",2014,4,2
"Tomas Pekhart","EUC-G",2012,2,0
"Tomas Pekhart","EUC-K",2012,1,0
"Tomas Pekhart","EUC-Q",2012,5,0
"Tomas Pekhart","Friendlies",2012,4,0
"Tomas Pekhart","Friendlies",2011,2,0
"Tomas Pekhart","Friendlies",2010,1,0
"Ugur Pamuk","Friendlies",2012,1,0
"Umit Korkmaz","EUC-Q",2008,1,0
"Vaclav Pilar","EUC-G",2012,3,2
"Vaclav Pilar","EUC-K",2012,1,0
"Vagif Dzavadov","EUC-Q",2016,2,0
"Vagif Dzavadov","EUC-Q",2016,2,0
"Vagif Dzavadov","Friendlies",2014,4,0
"Vagif Dzavadov","Friendlies",2014,4,0
"Vagif Dzavadov","WOC-Q",2014,6,1
"Vagif Dzavadov","WOC-Q",2014,6,1
"Vagif Dzavadov","Friendlies",2013,3,1
"Vagif Dzavadov","Friendlies",2013,3,1
"Vagif Dzavadov","EUC-Q",2012,9,2
"Vagif Dzavadov","EUC-Q",2012,9,2
"Vagif Dzavadov","Friendlies",2012,1,0
"Vagif Dzavadov","Friendlies",2012,1,0
"Vagif Dzavadov","Friendlies",2011,1,0
"Vagif Dzavadov","Friendlies",2011,1,0
"Vagif Dzavadov","Friendlies",2010,2,0
"Vagif Dzavadov","Friendlies",2010,2,0
"Vagif Dzavadov","WOC-Q",2010,8,2
"Vagif Dzavadov","WOC-Q",2010,8,2
"Vagif Dzavadov","Friendlies",2009,2,1
"Vagif Dzavadov","Friendlies",2009,2,1
"Vagif Dzavadov","EUC-Q",2008,5,0
"Vagif Dzavadov","EUC-Q",2008,5,0
"Vagif Dzavadov","Friendlies",2006,1,0
"Vagif Dzavadov","Friendlies",2006,1,0
"Valter Birsa","WOC-G",2010,2,1
"Vladimir Weiss","WOC-G",2010,2,0
"Vladimir Weiss","WOC-Q",2010,4,0
"Vuqar Nadirov","EUC-Q",2016,5,0
"Vuqar Nadirov","EUC-Q",2016,5,0
"Vuqar Nadirov","Friendlies",2015,1,0
"Vuqar Nadirov","Friendlies",2015,1,0
"Vuqar Nadirov","Friendlies",2014,1,0
"Vuqar Nadirov","Friendlies",2014,1,0
"Vuqar Nadirov","WOC-Q",2014,5,0
"Vuqar Nadirov","WOC-Q",2014,5,0
"Vuqar Nadirov","Friendlies",2013,2,0
"Vuqar Nadirov","Friendlies",2013,2,0
"Vuqar Nadirov","EUC-Q",2012,8,2
"Vuqar Nadirov","EUC-Q",2012,8,2
"Vuqar Nadirov","Friendlies",2012,5,1
"Vuqar Nadirov","Friendlies",2012,5,1
"Vuqar Nadirov","Friendlies",2011,1,0
"Vuqar Nadirov","Friendlies",2010,3,0
"Vuqar Nadirov","Friendlies",2010,3,0
"Vuqar Nadirov","WOC-Q",2010,7,0
"Vuqar Nadirov","WOC-Q",2010,7,0
"Vuqar Nadirov","Friendlies",2009,3,0
"Vuqar Nadirov","EUC-Q",2008,3,1
"Vuqar Nadirov","Friendlies",2006,2,0
"Vuqar Nadirov","WOC-Q",2006,1,0
"Wayne Rooney","Friendlies",2005,3,2
"Wayne Rooney","EUC-G",2004,3,4
"Wayne Rooney","EUC-K",2004,1,0
"Wayne Rooney","EUC-Q",2004,6,2
"Wayne Rooney","Friendlies",2004,5,2
"Wayne Rooney","Friendlies",2003,3,1
"Wesley Sneijder","EUC-G",2012,1,0
"Wesley Sneijder","EUC-G",2008,2,2
"Wesley Sneijder","EUC-K",2008,1,0
"Wesley Sneijder","EUC-Q",2008,10,2
"Yevhen Seleznyov","EUC-Q",2016,5,2
"Yevhen Seleznyov","Friendlies",2015,1,0
"Yevhen Seleznyov","Friendlies",2014,0,0
"Yevhen Seleznyov","WOC-Q",2014,8,3
"Yevhen Seleznyov","Friendlies",2013,3,1
"Yevhen Seleznyov","Friendlies",2012,4,0
"Yevhen Seleznyov","Friendlies",2011,7,0
"Yevhen Seleznyov","Friendlies",2010,7,1
"Yevhen Seleznyov","WOC-Q",2010,7,2
"Yevhen Seleznyov","Friendlies",2009,3,1
"Yevhen Seleznyov","Friendlies",2008,3,1
"Yura Movsisyan","EUC-Q",2016,5,0
"Yura Movsisyan","Friendlies",2014,4,0
"Yura Movsisyan","WOC-Q",2014,9,4
"Yura Movsisyan","Friendlies",2013,1,0
"Yura Movsisyan","EUC-Q",2012,9,4
"Yura Movsisyan","Friendlies",2012,4,1
"Yura Movsisyan","Friendlies",2011,1,0
"Yura Movsisyan","Friendlies",2010,1,0
"Zlatan Ibrahimovic","EUC-Q",2016,10,11
"Zlatan Ibrahimovic","Friendlies",2016,1,0
"Zlatan Ibrahimovic","Friendlies",2015,2,1
"Zlatan Ibrahimovic","Friendlies",2014,3,2
"Zlatan Ibrahimovic","WOC-Q",2014,11,8
"Zlatan Ibrahimovic","Friendlies",2013,3,3
"Zlatan Ibrahimovic","EUC-G",2012,1,0
"Zlatan Ibrahimovic","Friendlies",2012,5,7
"Zlatan Ibrahimovic","Friendlies",2011,3,0
"Zlatan Ibrahimovic","Friendlies",2010,1,1
"Zlatan Ibrahimovic","WOC-Q",2010,9,2
"Zlatan Ibrahimovic","EUC-G",2008,3,2
"Zlatan Ibrahimovic","EUC-Q",2008,7,0
"Zlatan Ibrahimovic","Friendlies",2008,1,0
"Zlatan Ibrahimovic","Friendlies",2007,1,0
"Zlatan Ibrahimovic","Friendlies",2006,2,0
"Zlatan Ibrahimovic","WOC-G",2006,2,0
"Zlatan Ibrahimovic","WOC-K",2006,1,0
"Zlatan Ibrahimovic","WOC-Q",2006,8,8
"Zlatan Ibrahimovic","EUC-G",2004,3,2
"Zlatan Ibrahimovic","EUC-K",2004,1,0
"Zlatan Ibrahimovic","EUC-Q",2004,5,3
"Zlatan Ibrahimovic","Friendlies",2004,5,2
"Zlatan Ibrahimovic","Friendlies",2003,1,1
"Zlatan Ibrahimovic","Friendlies",2002,6,1
"Zlatan Ibrahimovic","WOC-G",2002,1,0
"Zlatan Ibrahimovic","WOC-K",2002,1,0
"Zlatan Ibrahimovic","WOC-Q",2002,1,1
"Zlatan Ibrahimovic","Friendlies",2001,4,0
"Zlatan Ljubijankic","EUC-Q",2016,6,0
"Zlatan Ljubijankic","WOC-Q",2014,7,0
"Zlatan Ljubijankic","EUC-Q",2012,8,0
"Zlatan Ljubijankic","Friendlies",2012,2,0
"Zlatan Ljubijankic","Friendlies",2011,3,0
"Zlatan Ljubijankic","Friendlies",2010,4,1
"Zlatan Ljubijankic","WOC-G",2010,3,1
"Zlatan Ljubijankic","WOC-Q",2010,8,2
"Zlatan Ljubijankic","Friendlies",2009,2,1
"Zlatan Ljubijankic","EUC-Q",2008,1,0
"Zlatan Ljubijankic","Friendlies",2008,1,0
"Zlatko Dedic","WOC-Q",2014,4,0
"Zlatko Dedic","Friendlies",2013,3,0
"Zlatko Dedic","EUC-Q",2012,7,1
"Zlatko Dedic","Friendlies",2012,3,2
"Zlatko Dedic","Friendlies",2011,3,1
"Zlatko Dedic","Friendlies",2010,4,1
"Zlatko Dedic","WOC-G",2010,3,0
"Zlatko Dedic","WOC-Q",2010,11,3
"Zlatko Dedic","Friendlies",2009,2,0
"Zlatko Dedic","Friendlies",2008,1,0
"Zlatko Dedic","WOC-Q",2006,4,0
