HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAttackNext,HomeDefenseNext,AwayAttackNext,AwayDefenseNext
"Bulgaria","Azerbaijan","2015/10/13","EUC-Q",2,0,1,-0.0803,0.1033,-0.2266,0.221,-0.0502,0.0518,-0.2783,0.251
"Cyprus","Bosnia-Herzegovina","2015/10/13","EUC-Q",2,3,1,-0.1908,0.3259,0.259,-0.0059,-0.1342,0.3599,0.2935,0.0499
"Italy","Norway","2015/10/13","EUC-Q",2,1,1,0.4205,-0.2777,0.054,-0.205,0.4444,-0.245,0.0856,-0.1803
"Latvia","Kazakhstan","2015/10/13","EUC-Q",0,1,1,-0.1397,0.2698,-0.3177,0.3319,-0.202,0.2898,-0.2977,0.2697
"Malta","Croatia","2015/10/13","EUC-Q",0,1,1,-0.5151,0.5055,0.24,-0.3058,-0.536,0.4796,0.2141,-0.3266
"Netherlands","Czech Republic","2015/10/13","EUC-Q",2,3,1,0.3106,-0.0193,0.2967,0.1576,0.3182,0.0384,0.3553,0.1651
"Turkey","Iceland","2015/10/13","EUC-Q",1,0,1,0.1232,-0.1166,0.3522,-0.1053,0.1254,-0.1805,0.2892,-0.1032
"Wales","Andorra","2015/10/13","EUC-Q",2,0,1,-0.1034,-0.1435,-0.8306,0.8538,-0.1126,-0.1565,-0.8437,0.8447
"Austria","Liechtenstein","2015/10/12","EUC-Q",3,0,1,0.4009,-0.2754,-0.7055,0.4804,0.3988,-0.288,-0.718,0.4783
"Belarus","Macedonia","2015/10/12","EUC-Q",0,0,1,-0.0154,0.1724,-0.2881,0.3959,-0.0858,0.1209,-0.3416,0.3281
"Estonia","Switzerland","2015/10/12","EUC-Q",0,1,1,-0.4529,0.1175,0.2977,-0.1191,-0.4855,0.1086,0.2889,-0.1522
"Lithuania","England","2015/10/12","EUC-Q",0,3,1,-0.3052,0.263,0.6188,-0.4275,-0.3306,0.2763,0.6323,-0.4526
"Luxembourg","Slovakia","2015/10/12","EUC-Q",2,4,1,-0.5333,0.5396,0.0528,-0.1088,-0.4355,0.583,0.0964,-0.0116
"Russia","Montenegro","2015/10/12","EUC-Q",2,0,1,0.2647,-0.2668,0.0816,0.061,0.2814,-0.3158,0.0334,0.078
"San Marino","Slovenia","2015/10/12","EUC-Q",0,2,1,-0.9654,0.8781,0.2155,-0.0137,-0.9781,0.8634,0.2007,-0.0264
"Sweden","Moldova","2015/10/12","EUC-Q",2,0,1,0.3785,-0.0392,-0.3197,0.371,0.3695,-0.0816,-0.361,0.3619
"Ukraine","Spain","2015/10/12","EUC-Q",0,1,1,0.0823,-0.4682,0.5592,-0.5942,0.0467,-0.4575,0.57,-0.63
